Ticker,eps,forward_pe,peg_ratio,pe_ratio,dividend_per_share,liquidity,debt_to_equity
AACG,-0.153,ForwardPE,PEGRatio,PERatio,0.0,0.2813924173814855,0.5936878706765073
ACAXW,EPS,ForwardPE,PEGRatio,PERatio,0.0,0.43478260869565216,0.17391304347826086
ACB,-4.702,ForwardPE,PEGRatio,PERatio,0.0,5.721950590762621,3.5936306833312464
AGGR,EPS,ForwardPE,PEGRatio,PERatio,DividendPerShare,0.7525210254537339,6.736650761506656e-05
AGGRU,EPS,ForwardPE,PEGRatio,PERatio,0.0,0.7525210254537339,6.736650761506656e-05
AGGRW,EPS,ForwardPE,PEGRatio,PERatio,DividendPerShare,0.7525210254537339,6.736650761506656e-05
ALLO,EPS,ForwardPE,PEGRatio,PERatio,DividendPerShare,9.78376302569851,7.497512844847335
ALLR,-3.866,ForwardPE,PEGRatio,PERatio,0.0,1.0161687340122594,0.5884145353171902
ALLT,-0.478,ForwardPE,1.53,PERatio,0.0,2.4650989784624318,1.6278841433480609
AMOT,EPS,ForwardPE,PEGRatio,PERatio,DividendPerShare,2.2452086257496493,0.6634160474590405
AMPG,-0.391,49.51,0.0,PERatio,0.0,6.364456418210725,4.6875884266177135
AMPH,1.61,ForwardPE,2.77,22.43,0.0,3.064435025527406,1.9712752259885755
